id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria,geometry,edge_u,edge_v,edge_key,distancia_edge
421,9,1,2019,2,8,20,31,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA AVENIDA DE LAS GRANJAS,CALLE RABAUL,NAN,-99.17532,19.47513,2019-01-31 08:20:00,0,False,False,True,leve,Mañana,POINT (-99.17532 19.47513),1932473839,1932473838,0,4.381768377516297
557,9,1,2019,2,14,30,9,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,49,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 1 PONIENTE (AVENIDA MÉXICO-COYOACÁN),CALLE BRUNO TRAVEN,NAN,-99.16345,19.35899,2019-01-09 14:30:00,0,False,False,True,leve,Tarde,POINT (-99.16345 19.35899),276311149,3617844345,0,1.9587398790168427
558,9,1,2019,2,9,0,11,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,32,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE ABRAHAM GONZÁLEZ,CALLE LUCERNA,NAN,-99.15391,19.42911,2019-01-11 09:00:00,0,False,False,True,leve,Mañana,POINT (-99.15391 19.42911),269821580,269820959,0,2.470543860982114
559,9,1,2019,2,14,50,14,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,36,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE DOMINGO ARELLANO DE DOMÍNGUEZ,CALZADA GENERAL IGNACIO ZARAGOZA,NAN,-99.04232,19.3893,2019-01-14 14:50:00,0,False,False,True,leve,Tarde,POINT (-99.04232 19.3893),302595380,269277858,0,1.7160814059586933
560,9,1,2019,2,11,0,15,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,44,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE SAN JUAN DE DIOS,CALZADA ACUEDUCTO,NAN,-99.15051,19.29695,2019-01-15 11:00:00,0,False,False,True,leve,Mañana,POINT (-99.15051 19.29695),4141474277,8218371195,0,0.5135064853316724
561,9,1,2019,2,7,0,16,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,2,5,7,35,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE CALLE DE LAS CUESTAS,CALLE ACUEDUCTO DE GUADALUPE,NAN,-99.14841,19.52154,2019-01-16 07:00:00,0,False,False,True,leve,Mañana,POINT (-99.14841 19.52154),1860631610,1860631593,0,1.8086094086727216
562,9,1,2019,2,22,0,16,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,7,58,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 1 NORTE (IGNACIO LÓPEZ RAYÓN),AVENIDA PASEO DE LA REFORMA,NAN,-99.13975,19.44404,2019-01-16 22:00:00,0,False,False,True,leve,Noche,POINT (-99.13975 19.44404),4735188322,2266648195,0,1.3844060933299684
563,9,1,2019,2,8,15,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,34,0,0,0,0,0,0,0,0,0,0,0,0,3,PERIFÉRICO BOULEVARD MANUEL ÁVILA CAMACHO,AVENIDA CALZADA LEGARIA,NAN,-99.2159,19.44208,2019-01-17 08:15:00,0,False,False,True,leve,Mañana,POINT (-99.2159 19.44208),269289908,30379615,0,1.7826210341604154
564,9,1,2019,2,12,0,19,6,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,7,44,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE PROCURADURÍA GENERAL DE JUSTICIA,CALLE RELACIONES EXTERIORES,NAN,-99.08918,19.41799,2019-01-19 12:00:00,0,False,False,True,leve,Tarde,POINT (-99.08918 19.41799),274433914,274433913,0,5.291550561077261
565,9,1,2019,2,13,0,19,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,5,7,27,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA LUIS CABRERA,AVENIDA SAN JERÓNIMO,NAN,-99.23692,19.3175,2019-01-19 13:00:00,0,False,False,True,leve,Tarde,POINT (-99.23692 19.3175),2095319425,7956253450,0,0.7452321890160161
