centroid_lat,centroid_lon,n_accidentes,gi_score,hot_spot,riesgo_hotspot
19.300759999999997,-99.34206289000001,2,-0.7730023972042208,No significativo,50.0
19.310759999999995,-99.34206289000001,1,-0.7412875395860713,No significativo,50.0
19.31076,-99.33206289,15,-0.7518591587921212,No significativo,50.0
19.32076,-99.33206289,12,-0.7448114126547546,No significativo,50.0
19.330759999999998,-99.33206289,3,-0.7180299773327616,No significativo,50.0
19.32076,-99.32206289000001,9,-0.6884294435558223,No significativo,50.0
19.330759999999998,-99.32206289000001,4,-0.7125931445982218,No significativo,50.0
19.35076,-99.32206289000001,6,-0.7518591587921213,No significativo,50.0
19.330759999999998,-99.31206288999999,17,-0.7337363830103215,No significativo,50.0
19.340759999999996,-99.31206288999999,16,-0.6487858715331354,No significativo,50.0
19.35076,-99.31206288999999,5,-0.5721416322892742,No significativo,50.0
19.36076,-99.31206288999999,1,-0.5253244615196248,No significativo,50.0
19.31076,-99.30206289000002,1,-0.8628611604556444,No significativo,50.0
19.330759999999998,-99.30206289000002,1,-0.7650736827996835,No significativo,50.0
19.340759999999996,-99.30206289,2,-0.5906419658998614,No significativo,50.0
19.35076,-99.30206289,44,-0.519283536259025,No significativo,50.0
19.36076,-99.30206289000002,24,-0.45849672582423845,No significativo,50.0
19.370759999999994,-99.30206289,3,-0.4206150903358932,No significativo,50.0
19.310759999999995,-99.29206289000003,1,-0.8628611604556444,No significativo,50.0
19.32076,-99.29206289000001,4,-0.8152888740284201,No significativo,50.0
19.330759999999998,-99.29206289000003,6,-0.7650736827996835,No significativo,50.0
19.35076,-99.29206289000001,26,-0.3597481918768186,No significativo,50.0
19.36076,-99.29206289000003,41,-0.28670791372592874,No significativo,50.0
19.370759999999997,-99.29206289000001,23,-0.33839138539995023,No significativo,50.0
19.32076,-99.28206288999999,1,-0.703229710444292,No significativo,50.0
19.330759999999998,-99.28206289,9,-0.7119219306803773,No significativo,50.0
19.340759999999996,-99.28206288999999,11,-0.6292283760019433,No significativo,50.0
19.35076,-99.28206288999999,24,-0.3141941236616583,No significativo,50.0
19.36076,-99.28206289,73,-0.25787622498215645,No significativo,50.0
19.370759999999994,-99.28206288999999,31,-0.17253442630059052,No significativo,50.0
19.38076,-99.28206289,5,-0.389403643156127,No significativo,50.0
19.300759999999997,-99.27206289000002,5,-0.646142966731623,No significativo,50.0
19.310759999999995,-99.27206289000002,2,-0.6276426331210357,No significativo,50.0
19.32076,-99.27206289000002,9,-0.6546002620964628,No significativo,50.0
19.330759999999998,-99.27206289000002,30,-0.641914319049203,No significativo,50.0
19.340759999999996,-99.27206289000002,1,-0.6524859382552528,No significativo,50.0
19.35076,-99.27206289000002,8,-0.3962683309522634,No significativo,50.0
19.36076,-99.27206289000002,58,-0.25403199981632024,No significativo,50.0
19.370759999999997,-99.27206289000002,13,-0.263642562730911,No significativo,50.0
19.38076,-99.27206289000002,12,-0.2538184317515516,No significativo,50.0
19.300759999999997,-99.26206289,10,-0.5615700130832243,No significativo,50.0
19.310759999999995,-99.26206289000001,31,-0.5298551554650748,No significativo,50.0
19.32076,-99.26206289,20,-0.4840448055721923,No significativo,50.0
19.330759999999998,-99.26206289000001,9,-0.584635364078242,No significativo,50.0
19.340759999999996,-99.26206289,12,-0.6056184264417653,No significativo,50.0
19.35076,-99.26206289,4,-0.4470441383510179,No significativo,50.0
19.36076,-99.26206289000001,32,-0.33251826361881137,No significativo,50.0
19.370759999999997,-99.26206289,64,-0.3273679875953511,No significativo,50.0
19.38076,-99.26206289000001,12,-0.3059290395551103,No significativo,50.0
19.390759999999997,-99.26206289,25,-0.18363462646694295,No significativo,50.0
19.200760000000002,-99.25206289000002,1,,No significativo,50.0
19.30076,-99.25206289,23,-0.46290156716009256,No significativo,50.0
19.31076,-99.25206289000002,25,-0.42125579453019935,No significativo,50.0
19.32076,-99.25206289,25,-0.35366150203091107,No significativo,50.0
19.330759999999998,-99.25206289000002,20,-0.4327884700277082,No significativo,50.0
19.340759999999996,-99.25206289,18,-0.6000122647415874,No significativo,50.0
19.35076,-99.25206289,13,-0.5654142382490606,No significativo,50.0
19.36076,-99.25206289000002,17,-0.33091650313304627,No significativo,50.0
19.370759999999994,-99.25206289,10,-0.30400692697219217,No significativo,50.0
19.38076,-99.25206289000002,55,-0.26380273877948757,No significativo,50.0
19.390759999999997,-99.25206289,37,-0.29140641115083993,No significativo,50.0
19.40076,-99.25206289000002,4,-0.30483068950772846,No significativo,50.0
19.240759999999998,-99.24206289000001,3,-0.8533467031701996,No significativo,50.0
19.25076,-99.24206289,2,-0.8195175217108401,No significativo,50.0
19.260759999999998,-99.24206289,2,-0.7687737495218009,No significativo,50.0
19.27076,-99.24206289000001,10,-0.6763475930346224,No significativo,50.0
19.28076,-99.24206289,6,-0.4532109162212136,No significativo,50.0
19.29076,-99.24206289000001,9,-0.4863940542846478,No significativo,50.0
19.300759999999997,-99.24206289,16,-0.46354227135439857,No significativo,50.0
19.310759999999995,-99.24206289000001,25,-0.27901946339425615,No significativo,50.0
19.32076,-99.24206289,52,-0.23384981769567978,No significativo,50.0
19.330759999999998,-99.24206289000001,11,-0.3966527534688471,No significativo,50.0
19.340759999999996,-99.24206289,21,-0.5034261074499503,No significativo,50.0
19.35076,-99.24206289,6,-0.5404267746711248,No significativo,50.0
19.36076,-99.24206289000001,18,-0.4558538210227261,No significativo,50.0
19.370759999999997,-99.24206289,19,-0.22815740735396034,No significativo,50.0
19.38076,-99.24206289000001,44,-0.25210988723340216,No significativo,50.0
