edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
30380894,30880055,0,4,6,0,2,0,6.097568112409987
30380894,12295926482,0,3,13,1,1,1,3.760953472011437
30380908,11155093909,0,1,3,0,1,0,2.307794641921347
30380974,8116806163,0,3,0,0,0,0,5.160199728707572
30381059,553028473,0,1,0,0,0,0,2.0977086474199957
30381116,1406536468,0,1,3,0,1,0,4.634095895083873
30381123,30381130,0,3,9,0,3,0,7.215378987654167
30381170,13269502983,0,1,0,0,0,0,1.2236486415500019
30381178,30381180,0,3,0,0,0,0,6.700161508513467
30381180,30381185,0,2,0,0,0,0,3.4506725045338102
30381185,30381191,0,10,0,0,0,0,4.226910795456921
30381191,30381196,0,8,40,1,10,1,0.495942316182305
30381196,30381199,0,1,0,0,0,0,3.654966123408792
30381199,268902306,0,2,0,0,0,0,1.4017981337059615
30381292,1409559768,0,8,15,0,5,0,3.345846177125408
30381346,270608815,0,1,0,0,0,0,6.37171570088258
30381350,30381352,0,2,0,0,0,0,3.6660068467336395
30381352,1395878640,0,3,6,0,2,0,3.1370128963656945
30381360,268716443,0,7,3,0,1,0,1.188858575293624
30381377,30384362,0,2,0,0,0,0,1.1468711901391013
30381433,268437527,0,4,3,0,1,0,8.044559985641978
30381460,848492675,0,2,3,0,1,0,1.3032058837646938
30381473,1383642142,0,7,13,1,1,1,0.39310776089445615
30381476,1383642120,0,2,3,0,1,0,4.029846196300265
30381481,270287589,0,1,0,0,0,0,2.7728335017285786
30381485,30381487,0,3,0,0,0,0,6.000039609926383
30381487,268620409,0,12,6,0,2,0,2.9369693779231354
30381488,270284931,0,1,0,0,0,0,0.07019586866086668
30381490,270110517,0,1,0,0,0,0,1.0567307807979045
30381496,270105704,0,2,6,0,2,0,6.94199584019544
30381498,30381499,0,1,0,0,0,0,6.350381543139849
30381498,268531832,0,7,31,1,7,1,4.2315849151903056
30381499,270215416,0,1,3,0,1,0,0.41208950118485504
30381501,270215233,0,1,0,0,0,0,0.14217977488739347
30381507,268451075,0,3,3,0,1,0,3.7499383174786716
30381546,9916128006,0,4,13,1,1,1,1.421407945189363
30383140,8251259398,0,3,0,0,0,0,1.5263013290480434
30383167,331503660,0,1,0,0,0,0,0.7357237117830774
30383167,676040403,0,1,0,0,0,0,5.134299564333713
30383465,30341249,0,10,0,0,0,0,6.256553322931393
30383465,1415534926,0,1,3,0,1,0,2.1939132570585094
30383481,30341250,0,1,0,0,0,0,0.3393228973423266
