u,v,key,peso_distancia,peso_balanceado,peso_seguro
30340916,30594516,0,63.7691,70.7752,77.7813
30340916,30341031,0,142.3218,160.7315,179.1411
30340917,30340916,0,68.208,76.6827,85.1573
30340917,30758811,0,93.4561,105.5448,117.6336
30340917,30789010,0,88.4671,99.4588,110.4506
30340918,30789024,0,63.4911,70.253,77.0148
30340918,30340917,0,86.531,96.4216,106.3122
30340920,30340918,0,176.8781,204.6216,232.3651
30340920,8392318114,0,206.977,230.1905,253.404
30340921,30340920,0,73.7354,88.5293,103.3232
30340922,30340921,0,90.1958,100.237,110.2781
30340922,275730872,0,65.5717,73.7245,81.8773
30340926,275731555,0,43.0054,43.0196,43.0338
30340926,275730354,0,210.5147,248.6446,286.7745
30340930,270503857,0,142.4866,164.626,186.7655
30340957,4040819220,0,84.8193,94.3334,103.8474
30340957,276310216,0,144.0402,147.0578,150.0754
30340957,8840210581,0,117.6532,120.118,122.5828
30340971,30758686,0,60.1498,67.143,74.1361
30340971,30340972,0,88.9908,99.3371,109.6834
30340972,30758692,0,54.0194,60.2998,66.5803
30340972,30340973,0,99.1752,114.7309,130.2867
30340973,275730849,0,74.2504,82.5146,90.7789
30340973,30340920,0,66.621,77.0706,87.5201
30340976,275730003,0,79.7861,88.1401,96.4942
30340976,6133056838,0,57.0245,64.9678,72.9111
30340978,275358139,0,67.384,75.4339,83.4838
30340978,30340979,0,161.974,163.2373,164.5006
30340979,268684271,0,58.4814,58.9375,59.3936
30340979,30340980,0,196.5325,196.5325,196.5325
30340980,275357288,0,70.187,70.187,70.187
30340980,6133056834,0,177.794,177.794,177.794
30340987,268826632,0,96.298,111.7827,127.2674
30340987,848504661,0,89.1729,103.6286,118.0843
30340987,10176157896,0,178.5132,226.2361,273.959
30340989,268842694,0,75.8475,85.6815,95.5155
30340989,268839416,0,258.2,336.7221,415.2443
30340990,268843772,0,87.39,135.4841,183.5783
30340990,268838946,0,52.8266,66.7926,80.7586
30340991,268842122,0,34.3849,38.6251,42.8654
30340992,268840139,0,273.0237,407.6368,542.2499
30340992,268840707,0,70.3665,78.1935,86.0204
30340993,268840282,0,141.1602,189.9832,238.8062
30340993,268840624,0,58.7733,79.1011,99.429
